Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
Insension,https://www.insension.eu/,2015,Project,European,Poland,Poland,ratified,Pozna?,Organisation,Horizo??n 2020,Service,Cognitive,Many individuals with PIMD are unable to produce any clear and consistent signals contingent upon an ongoing real-time interactional situation. They are therefore unable to produce conventional gestures or vocalizations that may serve to communicate a particular need to a caregiver. ,Personalized intelligent platform enabling interactions to individuals with profound and multiple disabilities.,Insension aims to involve a group of people with PIMD of various ages and genders who are provided with care services by the specialised centres maintained by one of the project partners � �Na Tak� Association.,The INSENSION system will enable people with PIMD to do things they could not do before by controlling the environment in which they live.,Open ,Existence,https://cordis.europa.eu/project/id/780819,,,,,,,,,,,,,,,
Changing Lives Initiative,https://changinglivesinitiative.com/,2018,Project,European,Ireland,Ireland,ratified,Clondalkin,Organisation,"All Island Funds; Departments of Health of Northern Ireland, the Republic of Ireland",paradigm,Cognitive,Some parents are concerned about their child's behaviour but are unsure if their child has ADHD. People who work with children who have problems with hyperactivity or impulsivity are not aware of ADHD.,The Changing Lives Initiative have developed an App to help families understand what ADHD is and provide practical strategies and tools for parents to use with their children. ,"The Initiative�s three-year cross border project was supported by the European Union�s INTERREG VA Programme, managed by the Special EU Programmes Body (SEUPB).","Changing lives Initiative can help caregivers become aware of ADHD and understand how to support children with inattentive, hyperactive or impulsive problems.",Open ,Existence,,,,,,,,,,,,,,,,
gameChange,https://gamechangevr.com/,2018,Project,European,United Kingdom,United Kingdom,ratified,Oxford,University,NIHR,product,Cognitive,"Many people with mental illness feel intense anxiety about not being able to participate in everyday activities, which can develop into a severe phobia meaning that people avoid leaving home, severely disrupting relationships with family and friends, their education and working life.","gameChange is a virtual reality therapy. Users simply put on the headset and start the program. gameChange is automated: a virtual therapist guides the patient though the program. Designed in collaboration with people with lived experience, over six sessions users practise being in simulations of everyday situations.","gameChange was developed by a multi-partner team led by researchers at the University of Oxford and Oxford Health NHS Foundation Trust,","gameChange is a landmark psychological treatment for people with psychosis, with a range of staff to support the process and increase the chances of patients receiving effective psychological treatment.",Open ,Existence,,,,,,,,,,,,,,,,
Phoenix i Wheelchair,https://www.phoenixinstinct.com/,2020,for-profit,European,United Kingdom,United Kingdom,ratified,Inverness,Startup,Toyota,product,mobility,"For wheelchair users, carrying heavy luggage and moving it around can cause the wheelchair to lose its balance and make mobility difficult.",The Phoenix bag carries all its weight on its own wheels and the multidirectional wheels move perfectly with your wheelchair.,Phoenix Instinct travel bag and daily wheeled bag specially designed to be wheelchair compatible.,The user can put a bag suitable for any task into the trolley. The very useful wheelchair compatible trolley comes with your first bag or can even be used alone to move awkward objects.,No,Success,,,,,,,,,,,,,,,,
Blue Badge,https://www.disabledmotoring.org/,2005,Charity,European,United Kingdom,United Kingdom,ratified,Norfolk,Organisation,Disabled Motoring UK,Service,mobility,"People with disabilities need more accessible parking, refuelling and accessibility facilities when driving vehicles to enable them to access the goods and services they need.",The Blue Badge Scheme is a national arrangement that offers special parking provision for some people with disabilities.,Work with government and businesses across the UK.,"The Blue Badge will help the holder park close to a destination, as a driver or passenger.",No,Success,https://www.gov.uk/apply-blue-badge,,,,,,,,,,,,,,,
QLeaf Pro invisible hearing aid,https://exsilent.com/,2011,for-profit,European,Netherlands,Netherlands,ratified,Amsterdam,Startup,Exsilent,Product,Hearing,How to change program settings without having to remove the hearing aid and manually push a button or reset a switch?,"The AirTAP technology eliminates the need for an extra device by responding directly to the pressure change when you simply tap your ear gently with your finger, also eliminating the need for a switch or button on the device.","ExSilent works together with strategic partners in the hearing aid industry, the Academic world en numerous specialists worldwide.","Its slick modular design, with a slide-in-battery compartment sitting between the microphone and speaker, lessens the possibility of feedback.",Scalable,Survival,,,,,,,,,,,,,,,,
Genny,https://www.gennymobility.com/en/dove_siamo/,2009,for-profit,European,Switzerland,Switzerland,ratified,Antonino,Company,Genny Mobility,Product,mobility,Moving always looking down to avoid the little anterior wheels sinking in the dips and always having the hands full (often getting dirty) can be reason of daily frustration.,Genny's technology ensures that the wheelchair moves forward without the need to operate the throttle or brakes. Two parallel wheels and a number of electronic sensors allow the Genny to propel forward and slow down and brake backwards by simply moving parts of the bust.,?Work with Segway PT,Its mobility features allows uses to stroll looking at the landscape with no worries about the road surface.,No,Existence,https://www.made2aid.co.uk/productprofile?productId=101091&company=Genny&producttype=&category=,,,,,,,,,,,,,,,
Voiceitte,https://voiceitt.com/,2012,for-profit,European,Israel,United States,ratified,Tel Aviv,Startup,Voiceitt,Product,Speech,People with speech impairments have difficulty being understood by other people and voice recognition when they speak.,"Using data from speech, cadence, breath, and pauses, Voiceitt�s machine learning creates a dataset unique to user's speech patterns. ","Voiceitte have been working with non-profits, associations, health and speech professionals, and people with disabilities to develop Voiceitt. ","People with speech disabilities, disorders, or impairments can use their voice to communicate with smart homes or anyone; with Voiceitt, they�ll be understood??.",Free Download,Existence,https://advopps.org/voice-amplifiers-when-one-has-something-to-say-and-is-saying-it/,,,,,,,,,,,,,,,
Wheelchairs of Hope,https://wheelchairsofhope.org/,2017,charity,European,Israel,Israel,ratified,St. Kfar Saba,Organisation,SHARP MENTORING LTD,Product; Service,Mobility,Limited mobility limits the participation of children with disabilities in education and social activities.,"By providing affordable wheelchair solution to each child in need, they enable access to education.","Wheelchairs of Hope have been working with international organisations, corporations and individuals. ","It is about enabling children with disabilities to become mobile, remain healthy and participate fully in community life.",No,Existence,,,,,,,,,,,,,,,,
SIMO,https://theautismsimulator.com/,2016,charity,European,Slovakia,Slovakia,ratified,Bratislava,Organisation,SPOSA,Product,Cognitive,Lack of empathy and understanding for children with autism may lead to their unsuccessful inclusion in education.,"Through a virtual reality headset, users�ll experience with full intensity how hypersensitivity, sensory overload, and synesthesia feel.",?cooperated with autism group,The Autism Simulator allows others to experience people with autism feelings directly and better understand them.,Hardware requirements: Oculus Rift (S) + VR PC; Oculus Go,Success,,,,,,,,,,,,,,,,
